Latitude,Longitude,Name,Times recommended,Recommended by,Rating,Reviews,Category,Google category,Notes,Website
43.2935522,5.382698599999999,Limmat,7,Cara + Chloé + Group list + List 1 + Riya + Tatiana + Tom,4.7,461,Dinner,Restaurant,Famous small-plates spot on the long steps near the main square. BOOK AHEAD. · DINNER,http://limmatmarseille.com/
43.3001322,5.369594699999999,Ripaille (Rapaille),5,Chloé + Group list + List 1 + Riya + Tatiana,4.3,295,Wine Bar,Restaurant,Wine bar.,https://instagram.com/ripaille_marseille
43.217831,5.34585,Tuba Club,4,Cara + Chloé + List 1 + Riya,4.3,2233,Dinner,Restaurant,Lunch or dinner by the sea (spenny). · DINNER,https://tuba-club.com/
43.2839533,5.3712377,Notre-Dame de la Garde,4,Chloé + List 1 + Riya + Tatiana,4.8,50314,Other,Church,,https://basiliquenotredamedelagarde.com/
43.2994738,5.370580899999999,Le Vin sur la Main,4,Chloé + Group list + Riya + Tatiana,4.8,191,Dinner,Bar,"Dinner. · Book ahead via IG/in person. Small, living-room DIY vibe, everyone served same time · Good natural wine + guest chefs",https://www.instagram.com/le_vin_sur_la_main/
43.2930637,5.3729146,Coquille,4,Chloé + Group list + Laurence's Local + Riya,4.7,1202,Dinner,Restaurant,"Best seafood. · Seafood by the port, best to book, waited an hour, worth it. Went back twice for the mussels",
43.283193,5.3745099,Figure,4,Cara + Chloé + Group list + Riya,4.2,241,Wine Bar,Restaurant,Wine bar / evening restaurant — 'Figure or Ivresse'. · DINNER + DRINKS,
43.2804915,5.3502496,Plage de Maldormé,3,List 1 + Tatiana + Tom,4.5,629,Beach / Swim,Scenic spot,Stunning swimming spot at the edge of the city centre — worth the bus ride. Where all the youts hang.,https://sites.google.com/site/ligondes/classeur/landscape/mediterranee/marseille/maldorme
43.2844392,5.3496025,Malmousque (swim spot),3,Chloé + List 1 + Tatiana,4.8,150,Other,Hiking area,,https://sites.google.com/site/ligondes/
43.2958061,5.3784182,La Mercerie,3,Chloé + List 1 + Riya,4.5,1361,Dinner,Restaurant,,https://www.lamerceriemarseille.com/
